StationId,StationName,cloud_cover,cloud_height,humidity,humidity_past1h,leav_hum_dur_past10min,leav_hum_dur_past1h,precip_dur_past10min,precip_dur_past1h,precip_past10min,precip_past1h,precip_past1min,precip_past24h,pressure,pressure_at_sea,radia_glob,radia_glob_past1h,snow_cover_man,snow_depth_man,sun_last10min_glob,sun_last1h_glob,temp_dew,temp_dry,temp_grass,temp_grass_max_past1h,temp_grass_mean_past1h,temp_grass_min_past1h,temp_max_past12h,temp_max_past1h,temp_mean_past1h,temp_min_past12h,temp_min_past1h,temp_soil,temp_soil_max_past1h,temp_soil_mean_past1h,temp_soil_min_past1h,visib_mean_last10min,visibility,weather,wind_dir,wind_dir_past1h,wind_gust_always_past1h,wind_max,wind_max_per10min_past1h,wind_min,wind_min_past1h,wind_speed,wind_speed_past1h
06051,Vestervig,-,-,2000,2003,-,-,2010,2010,2010,2010,2020,-,2022,-,-,-,-,-,-,-,2003,2000,-,-,-,-,2003,2000,2000,2003,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06052,Thyborøn,1961,1961,1962,2000,-,-,2000,2000,2000,2000,2015,-,1993,1962,-,-,-,-,-,-,1962,1961,-,-,-,-,1961,2000,2000,1961,2000,-,-,-,-,2000,1961,1961,1961,2000,2003,2003,2000,2000,2000,1961,2000
06056,Mejrup,-,-,1987,2002,2002,2000,-,1988,-,-,-,-,2002,2002,2002,1998,-,-,2002,2002,2002,1986,2000,2000,2000,2000,2002,1986,1986,2002,1986,2000,2000,2000,2000,-,-,2010,1986,1986,2003,2003,1986,2002,2002,1986,1986
06058,Hvide Sande,1989,1989,1989,2001,2024,2024,2001,2001,2001,2001,2024,-,1993,1989,2006,2006,-,-,2006,2006,1989,1989,2024,-,-,-,1989,2001,2001,1989,2001,-,-,-,-,2001,1989,1989,1989,2001,2003,2003,2001,2001,2001,1989,2001
06060,Flyvestation Karup,1953,1953,1953,2003,-,-,2003,2003,2003,2003,2013,-,1993,1953,-,-,-,-,-,-,1953,1953,2003,2003,2003,2003,1953,2003,2003,1953,2003,-,-,-,-,2003,1953,1953,1953,2003,2003,2003,2003,2003,2003,1953,2003
06065,Års Syd,1961,1961,1961,2002,2002,2002,2002,2002,2002,2002,2015,-,2002,1974,2002,2002,-,-,2002,2002,1961,1961,2003,2003,2003,2003,1961,2002,2002,1961,2002,2003,2003,2003,2003,-,1961,1961,1961,2002,2003,2003,2002,2002,2002,1961,2002
06068,Isenvad,2025,-,2002,2002,2023,2023,2009,2009,2009,2009,2023,-,2002,2002,2002,2002,-,-,2002,2002,2002,2002,-,-,-,-,2002,2002,2002,2002,2002,-,-,-,-,-,-,2006,2002,2002,2003,2003,2002,2002,2002,2002,2002
06069,Foulum,1984,1984,1984,1999,1999,1999,1999,1999,1999,1999,2025,-,1999,1984,1999,1999,-,-,1999,1999,1984,1984,1999,1999,1999,1999,1984,1999,1999,1984,1999,1999,1999,1999,1999,-,1985,1985,1984,1999,2003,2003,1999,1999,1999,1984,1999
06070,Århus Lufthavn,1959,1959,1959,2003,-,-,2003,2003,2003,2003,2012,-,1977,1959,-,-,-,-,-,-,1959,1959,2003,2003,2003,2003,1959,2003,2003,1959,2003,-,-,-,-,1999,1959,1959,1959,2003,2003,2003,2003,2003,2003,1959,2003
06071,Fornæs Fyr,1953,1953,1953,-,-,-,-,-,-,-,-,-,1993,1953,-,-,-,-,-,-,1953,1953,-,-,-,-,1953,-,-,1953,-,-,-,-,-,-,1953,1953,1953,-,-,-,-,-,-,1953,-
06072,Ødum,-,-,1987,2001,2001,1988,2001,1988,2001,1987,2024,-,2001,2001,2001,1987,-,-,2001,2001,2001,1987,1989,1989,1989,1989,2001,1987,1987,2001,1987,1988,1989,1989,1989,-,-,2002,1987,1987,2003,2003,1987,2001,2001,1987,1987
06073,Sletterhage Fyr,1977,1977,1979,2001,2024,2024,-,-,-,-,-,-,2001,1977,-,-,-,-,-,-,1977,1979,-,-,-,-,2001,2001,2001,2001,2001,-,-,-,-,-,1977,1977,1977,2001,2003,2003,2001,2001,2001,1977,2001
06074,Århus Syd,1976,1976,1976,2001,-,-,2001,2001,2001,2001,-,-,2001,1976,-,-,-,-,-,-,1976,1976,-,-,-,-,1976,2001,2001,1976,2001,-,-,-,-,2001,1976,1976,1976,2001,2003,2003,2001,2001,2001,1976,2001
06079,Anholt Havn,1961,1961,1961,1999,2024,2024,1999,1999,1999,1999,2019,-,1993,1961,2004,2004,-,-,2004,2004,1961,1961,-,-,-,-,1961,1999,1999,1961,1999,-,-,-,-,1999,1961,1961,1961,1999,2003,2003,1999,1999,1999,1961,1999
06080,Esbjerg Lufthavn,1959,1959,1959,2003,2015,-,2003,2003,2003,2003,-,-,1993,1959,-,-,-,-,-,-,1959,1959,2015,-,-,-,1959,2003,2003,1960,2003,-,-,-,-,1999,1959,1959,1959,2003,2003,2003,2003,2003,2003,1959,2003
06081,Blåvandshuk Fyr,1953,1953,1953,2000,2024,2024,2000,2000,2000,2000,-,-,1993,1953,-,-,-,-,2024,-,1953,1953,-,-,-,-,1953,2000,2000,1953,2000,-,-,-,-,-,1953,1953,1953,2000,2003,2003,2000,2000,2000,1953,2000
06082,Borris,2006,-,1987,2002,2002,1987,2002,1987,2002,1987,2024,-,2024,2024,2002,1987,-,-,2002,2002,2002,1987,1987,1988,1988,1988,2002,1987,1987,2002,1987,1987,1988,1988,1988,-,-,2024,1987,1987,2003,2003,1987,2002,2002,1987,1987
06088,Nordby,2007,2007,2000,2003,-,-,2009,2009,2009,2009,2020,-,-,-,-,-,-,-,-,-,2003,2000,-,-,-,-,2003,2000,2000,2003,2000,2011,2011,2011,2011,-,-,-,2007,2023,2023,2023,2005,2023,2023,2007,2023
06089,Sædenstrand Fyr,1968,1968,1968,-,-,-,-,-,-,-,-,-,-,1968,-,-,-,-,-,-,1968,1968,-,-,-,-,1968,-,-,1968,-,-,-,-,-,-,1968,1968,1968,-,-,-,-,-,-,1968,-
06093,Vester Vedsted,-,-,1987,2003,-,1997,-,1998,-,-,-,-,2003,2003,-,1986,-,-,-,-,2003,1986,-,-,-,-,2003,1986,1986,2003,1986,-,-,1997,-,-,-,-,1986,1986,2003,2003,1986,2003,2003,1986,1986
06096,Rømø/Juvre,1982,1982,1982,2000,2024,2024,-,-,-,-,-,-,1993,1982,2004,2004,-,-,2004,2004,1982,1982,-,-,-,-,1982,2000,2000,1982,2000,-,-,-,-,1999,1983,1983,1982,2000,2003,2003,2000,2000,2000,1982,2000
06102,Bygholm Landbrugsskole,-,-,1998,2001,2001,1998,2001,1998,2001,1998,2024,-,2001,2001,2001,1998,-,-,2001,2001,2001,1998,1998,1998,1998,1998,2001,1998,1998,2001,1998,1998,1998,1998,1998,-,-,2001,1998,1998,2003,2003,1998,2001,2001,1998,1998
06104,Billund Lufthavn,1968,1968,1968,2003,-,-,2003,2003,2003,2003,2014,-,1993,1971,-,-,-,-,-,-,1968,1968,2003,2003,2003,2003,1971,2003,2003,1971,2003,-,-,-,-,2003,1968,1968,1968,2003,2003,2003,2003,2003,2003,1968,2003
06108,Kolding Lufthavn,1990,1990,1990,2005,-,-,-,-,-,-,-,-,1993,1990,-,-,-,-,-,-,1990,1990,-,-,-,-,1990,2005,2005,1990,2005,-,-,-,-,-,1990,1990,1990,2005,2005,2005,2005,2005,-,1990,2005
06109,Askov,-,-,1987,2002,2002,1987,2002,1987,2002,1987,2024,-,2024,2024,2002,1987,-,-,2002,2002,2002,1987,1987,1988,1988,1988,2002,1987,1987,2002,1987,1987,1988,1988,1988,-,-,2024,1987,1987,2003,2003,1987,2002,2002,1987,1987
